Timestamp,Email Address,Your Name,Your Age,Course Name,Gender,How often do you play video games?,On which platform do you play games the most?,What type of gaming software do you primarily use?,How many hours per week do you spend gaming?,What type of games do you prefer?,What factors influence your choice of gaming software?,Which game stores or platforms do you primarily use?,"Do you prefer paid games, free-to-play games, or games with in-app purchases?",How often do you spend money on gaming software?,"Have you used cloud gaming services like Xbox Cloud Gaming, GeForce Now, or PlayStation Now?",What is your preferred device for gaming?,"How important is hardware performance (CPU, GPU, RAM) for your gaming experience?","Do you prefer high-performance gaming software that requires powerful hardware, or lightweight games that run on most devices?",What input method do you prefer for gaming?,How do you usually install games?,Do you participate in online multiplayer gaming?,Have you ever participated in an esports event or gaming tournament?,How important is cross-platform gaming (PC vs. Console vs. Mobile) to you?,Do you use voice chat or communication apps while gaming?,Have you ever faced toxicity or harassment while playing online games?,What gaming trends are you most excited about?,Would you be interested in subscription-based gaming services like Xbox Game Pass or PlayStation Plus?,What improvements do you think gaming software should focus on?
2022-05-12 16:51:14,chandarshan2606@gmail.com,Chandarshan S,35,Masters in Information Technology,Male,Occasionally,Console,PlayStation Store,6,Sports,Exclusive content,PlayStation Store,Free-to-play,Weekly,True,Console,4,Lightweight,Touchscreen,Download,False,False,3,True,True,"New game releases, new hardware releases, and new improvements in graphics technology",True,"Improved graphics, more customization options, and better gameplay mechanics."
2021-04-01 12:50:05,prabhu110024@gmail.com,Srividya,23,Bachelor of commerce,Male,Monthly,Console,PlayStation Store,4,Strategy,Exclusive content,Steam,Free-to-play,Occasionally,True,Console,3,High-performance,Keyboard,Download,False,False,4,True,False,Gameplay improvements and story-based games,True,"More investment in content, better optimization, and performance, more focus on creating engaging gameplay experiences"
2021-04-19 18:47:24,aniruddh.singh@gmail.com,Aniruddh Singh,22,B.Sc. Hons.,Male,Weekly,Mobile,PlayStation Store,4,Strategy,Price,PlayStation Store,Paid,Weekly,True,Mobile,2,High-performance,Touchscreen,Download,True,False,5,True,False,New game releases,False,"I would suggest that gaming software should be more user-friendly and intuitive to use. Additionally, the software should support a wide range of games and provide a seamless gaming experience."
2023-03-28 20:42:27,emma.lucinda.smith@gmail.com,Emma Lucinda Smith,19,Bachelor of Arts,Female,Daily,PC,Steam,15,Action,Exclusive content,Steam,In-app purchases,Monthly,True,PC,3,Lightweight,Keyboard,Download,True,True,4,True,True,None.,True,"Improved graphics and audio quality, more customization options, better cross-platform compatibility, and improved anti-cheat measures."
2019-05-07 09:30:52,priya.p.56@gmail.com,Priya,29,Bachelors of Technology,Female,Occasionally,Mobile,PlayStation Store,5,Sports,Exclusive content,PlayStation Store,In-app purchases,Monthly,False,Mobile,3,High-performance,Touchscreen,Download,False,False,3,False,True,It does not excite me,False,"Improved chat and voice chat systems, better anti-cheat measures, improved matchmaking, more efficient and reliable servers, better optimization for low-end devices, more immersive and realistic graphics, increased variety of game modes and content, and increased accessibility features."
2021-06-17 09:49:56,vivekkannan1@gmail.com,Amit,37,MBA,Male,Weekly,Mobile,Steam,3,Strategy,Exclusive content,PlayStation Store,Paid,Occasionally,False,Mobile,5,High-performance,Controller,Disc,True,False,4,False,True,Was excited about Battlefield 2042 but it turned out to be a disappointment.,False,More exclusive content
2023-03-28 05:10:54,bhavna.jain@gmail.com,Bhavna Jain,44,Database Management,Male,Occasionally,Mobile,PlayStation Store,1,Action,Exclusive content,Steam,Paid,Occasionally,False,Mobile,3,Lightweight,Touchscreen,Download,True,False,2,False,False,"Esports, new game releases, and cloud gaming",False,Improvements in gaming software:
2023-07-26 18:35:27,marianne.peter@gmail.com,Marianne Peter,33,Bachelor of Arts,Non-binary,Occasionally,Mobile,PlayStation Store,7,Action,User interface,Steam,Free-to-play,Occasionally,True,Mobile,2,High-performance,Touchscreen,Download,True,False,1,True,True,e-sports,False,More diverse representation in video games.
2022-12-15 22:39:18,mohit.nair@example.com,Mohit Nair,30,Bachelor of Arts,Male,Daily,Mobile,PlayStation Store,20,Action,Price,Steam,Paid,Occasionally,True,Mobile,7,High-performance,Touchscreen,Download,False,False,8,True,False,"New game releases, competitive gaming, and innovative game mechanics.",False,"Improved graphics, better performance, and more advanced gameplay mechanics."
2021-01-10 15:10:34,casual+771@gmail.com,Karan,26,Bachelor of Technology,Male,Weekly,PC,Epic Games Store,15,Strategy,Price,Epic Games,Free-to-play,Weekly,False,PC,1,Lightweight,Keyboard,Download,True,False,2,True,False,Battle royale games,True,I think the gaming software can be improved by adding more features and bug fixes.
